time,q_actual_0,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,dq_actual_0,dq_actual_1,dq_actual_2,dq_actual_3,dq_actual_4,dq_actual_5,dq_actual_6,tau_actual_0,tau_actual_1,tau_actual_2,tau_actual_3,tau_actual_4,tau_actual_5,tau_actual_6,q_ref_0,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,dq_ref_0,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,tau_ref_0,tau_ref_1,tau_ref_2,tau_ref_3,tau_ref_4,tau_ref_5,tau_ref_6
24.650000,-0.000191,0.645266,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.120879,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.382418,6.527473,0.389744,-0.061538,0.056166,-0.393162,-0.021978,0.000000,0.652500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.660000,-0.000191,0.646410,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.382418,6.580220,0.376068,-0.047863,0.056166,-0.378510,-0.026862,0.000000,0.653500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.670000,-0.000191,0.646792,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.021978,-0.007326,-0.007326,0.382418,6.685714,0.348718,-0.061538,0.056166,-0.373626,-0.017094,0.000000,0.654500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.680000,0.000191,0.648318,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.120879,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.382418,6.712088,0.403419,-0.061538,0.051282,-0.407814,-0.026862,0.000000,0.655500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.690000,-0.000191,0.649844,-0.000572,-0.000191,0.000572,-0.000572,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.382418,6.764835,0.362393,-0.061538,0.051282,-0.388278,-0.007326,0.000000,0.656500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.700000,-0.000191,0.650607,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.007326,-0.021978,-0.007326,0.382418,6.685714,0.376068,-0.075214,0.051282,-0.388278,-0.017094,0.000000,0.657500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.710000,-0.000191,0.651369,-0.000572,-0.000191,0.000954,-0.000954,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.007326,-0.007326,0.007326,0.382418,6.712088,0.389744,-0.075214,0.056166,-0.417582,-0.012210,0.000000,0.658500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.720000,0.000191,0.652132,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.382418,6.817582,0.389744,-0.075214,0.056166,-0.388278,-0.017094,0.000000,0.659500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.730000,-0.000191,0.652895,-0.000572,-0.000191,0.000954,-0.000572,-0.000954,0.010989,0.076923,0.004884,-0.004884,-0.007326,-0.007326,-0.021978,0.382418,6.896703,0.362393,-0.075214,0.056166,-0.393162,-0.026862,0.000000,0.660500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.740000,0.000191,0.653658,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.021978,-0.007326,0.007326,0.382418,6.896703,0.376068,-0.061538,0.056166,-0.373626,-0.012210,0.000000,0.661500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
